,category1_new,category2_new,category3_new
0,烧烤店,烧烤店,烧烤店
1,中式快餐店,非连锁中式快餐店,非连锁中式快餐店
2,西式快餐店,连锁西式快餐店,连锁西式快餐店
3,传统小店,食杂店,小吃店
4,餐厅,中餐厅,中餐厅
5,便利店,便利店,便利店
6,小超市,小超市,小超市
7,传统小店,食杂日用店,士多
8,传统小店,食杂店,水果店
9,传统小店,食杂店,肉菜店
10,中式快餐店,连锁中式快餐店,连锁中式快餐店
11,传统小店,食杂日用店,便利超市
12,传统小店,食杂日用店,小百货
13,休闲餐饮,咖啡厅,咖啡厅
14,早餐店,早餐店,早餐店
15,传统小店,食杂日用店,儿童用品店
16,传统小店,日用品店,文具店
17,餐厅,日韩餐厅,日韩餐厅
18,火锅店,火锅店,火锅店
19,休闲餐饮,休闲茶饮店,休闲茶饮店
20,批零,批零,批零
21,传统小店,食杂店,零食店
22,休闲餐饮,面包店,面包店
23,传统小店,食杂店,烟酒茶店
24,传统小店,日用品店,日杂店
25,传统小店,日用品店,体育用品店
26,传统小店,食杂店,粮油店
27,西式快餐店,非连锁西式快餐店,非连锁西式快餐店
28,餐厅,西餐厅,西餐厅
29,母婴,母婴用品店,母婴用品店
30,传统小店,日用品店,书店
31,传统小店,食杂店,干货店
32,自助餐,自助餐,自助餐
33,休闲餐饮,甜品店,甜品店
34,传统小店,日用品店,玩具店
35,传统小店,食杂日用店,宠物用品店
36,批零,食杂批发店,食杂批发店
37,批零,冻品批发店,冻品批发店
38,大超市,大超市,大超市
39,餐厅,东南亚餐厅,东南亚餐厅
40,传统小店,食杂日用店,书报亭
41,酒店宾馆,酒店宾馆,酒店宾馆
42,批零,果蔬批发店,果蔬批发店
43,批零,生鲜批发店,生鲜批发店
44,化妆品集合连锁店,化妆品集合连锁店,化妆品集合连锁店
45,批零,日用品批发店,日用品批发店
46,批零,烟酒茶批发店,烟酒茶批发店
47,大卖场,大卖场,大卖场
48,休闲娱乐场所,休闲会所,酒吧
49,休闲娱乐场所,休闲会所,洗浴棋牌室
50,家居生活馆,家居生活馆,家居生活馆
51,自动售卖机,自动售卖机,自动售卖机
52,休闲娱乐场所,公众体育场馆,公众体育场馆
53,休闲娱乐场所,休闲会所,KTV
54,休闲娱乐场所,休闲会所,网吧
55,传统小店,食杂日用店,免税品店
56,休闲娱乐场所,影剧院,影剧院
