,id,name,category3_new,cut_name
215463,1506567918505422933,吉盛日用百货店,小百货,吉盛 日用百货店
3117368,1604472401410912265,桃源山土特产,干货店,桃源 山 土特产
2369604,1528319419581984897,糖果喜铺,零食店,糖果 喜铺
2969161,1601115462777958499,联华超市,大卖场,联华 超市
3148803,1506519592879779980,麦旺炸鸡汉堡店,非连锁西式快餐店,麦旺 炸鸡 汉堡 店
2745231,1506666653205917697,盒马邻里,社区团购,盒马 邻里
645752,1535531301174767762,报刊亭,书报亭,报刊亭
1194056,1506644458551373923,合德记顺德双皮奶,甜品店,合德记 顺德 双皮奶
1223539,1514863536269160505,华东库存玩具,玩具店,华东 库存 玩具
2939606,1506620204149633150,昌吉市食为天便利店,士多,昌吉市 食为天 便利店
1269711,1506509198673047675,温泉百货,小百货,温泉 百货
2928367,1506567264114307143,柏生早餐店,早餐店,柏生 早餐 店
2332922,1524644191437844505,快餐店,非连锁中式快餐店,快餐店
2277809,1601543271698657398,春生副食品店,食杂店,春生 副食品店
1262219,1535531300960858140,振兴超市,便利店,振兴 超市
1455953,1601117971684782200,盛炫日杂商行,日杂店,盛炫 日杂 商行
517616,1506509195862863972,万敏副食,食杂店,万敏 副食
2485893,1528331666723172449,名创优品,家居生活馆,名 创优 品
803687,1506584914404044929,超级宝贝母婴生活馆,母婴用品店,超级 宝贝 母婴 生活馆
2661442,1535539605414342749,怡宝天溢水店,送水站,怡宝 天溢水店
267243,1604953858747134067,婵君批发店,批零,婵君 批发店
554045,1506639650566172704,晨光文具,文具店,晨光 文具
1919155,1506508766768787563,建成杂货店,日杂店,建成 杂货店
2578140,1580226507463454736,德盛烟酒,烟酒茶店,德盛 烟酒
382836,1599685347628019739,李学电杂货店,日杂店,李学电 杂货店
66353,1627516715682492496,宏达干洗连锁店,洗衣店,宏达 干洗 连锁店
3349632,1506567921248497783,安百家超市,小超市,安 百家 超市
2201263,1528324721928826942,东北烧烤家常菜,中餐厅,东北 烧烤 家常菜
1124828,1506567922380959845,原麦贝克瑞甜品,甜品店,原麦 贝克 瑞 甜品
2773481,1601607390883737662,诚信干洗店,洗衣店,诚信 干洗店
2821730,1604984244327936096,镇东洗浴,洗浴棋牌室,镇东 洗浴
2050016,1506576557051998256,月儿咖啡,咖啡厅,月儿 咖啡
2320345,1506560718491873346,鼎盛国烟名酒行,烟酒茶店,鼎盛 国烟 名酒 行
501889,1563017745187205240,广州盒马奥莱,社区团购,盒马 奥莱
2658297,1506517472948514934,八号公馆台球会所,公众体育场馆,八号 公馆 台球 会所
1068752,1514861886691340324,中国邮政报刊亭,书报亭,中国邮政 报刊亭
1581992,1506520379747987504,邮政报刊亭,书报亭,邮政 报刊亭
2761186,1612624017444040806,姐妹干洗店,洗衣店,姐妹 干洗店
328240,1506624591714578528,月美酒店,酒店宾馆,月 美 酒店
2122134,1599685351834906653,常诚粮油212,粮油店,常诚 粮油 212
2469714,1506564835587125321,冰冰奶粉专卖,母婴用品店,冰冰 奶粉
1439086,1506615510262083600,联家超市,小超市,联家 超市
1588174,1506567270091190347,中亿孕婴童,母婴用品店,中亿孕 婴童
786487,1535558200039043102,批发部,批零,批发部
3384969,1506564840045670483,富利粮油,粮油店,富利 粮油
2996389,1506523210978684993,自动售卖机,自动售卖机,自动 售卖机
1122484,1506570011211460692,胖辉批发部,批零,胖辉 批发部
3244266,1506566181673496699,江川冷饮分店,休闲茶饮店,江川 冷饮 分店
2389267,1506578482191396987,下司狗肉牛杂馆,小吃店,下司 狗肉 牛杂 馆
2337502,1506601149212651547,百姓家自助手擀面,自助餐,百姓家 助手 擀面
782563,1506570745445347444,屈臣氏,化妆品集合连锁店,屈臣氏
3304182,1528324722696384620,忆青春炭烤羊腿,烧烤店,忆 青春 炭 烤羊 腿
2459827,1506571146831851662,宏源文具,文具店,宏源 文具
1645240,1612624007650340864,小谷姐姐麻辣拌·麻辣烫,连锁中式快餐店,小谷 姐姐 麻辣 拌 麻辣烫
1514544,1506560893742477341,新生活化妆品,化妆品店,新 生活 化妆品
1809590,1601532475883122747,葫芦娃宠物医院,宠物医院,葫芦娃 宠物医院
392971,1506519589583056962,双意酒吧,酒吧,双意 酒吧
1097814,1506513683394850869,报刊亭猎德,书报亭,报刊亭 猎德
4046,1506564837826883700,越南粉,东南亚餐厅,越南 粉
2623936,1604984245015801944,味子夫鸡柳,非连锁西式快餐店,味子 夫鸡 柳
3329745,1632316191546798177,何建营名烟名酒超市,烟酒茶店,何建营 名烟名酒 超市
1039595,1506513042790412419,金爵水果行金爵名烟名酒,水果店,金爵 水果 行金爵 名烟名酒
1384327,1506513681012486285,下郭大道水店,送水站,郭 大道 水店
1755621,1506570745659256891,韵味小吃店,小吃店,韵味 小吃店
3148145,1622672397306163210,舒心干洗店,洗衣店,舒心 干洗店
3079982,1506560508881530892,新华书店,书店,新华书店
2124062,1573262121389781041,二批朱超碧,批零,二批 朱超 碧
2253191,1506560508575346816,阳光宾馆,酒店宾馆,阳光 宾馆
1117007,1506570744220610649,三信美妆,化妆品店,三信 美妆
2180937,1632348441864826883,艾瑞宠物医院,宠物医院,艾瑞 宠物医院
3292708,1506523218775896151,678网咖,网吧,678 网咖
1461291,1506644457406328978,晖敏酒店食材汇,干货店,晖 敏 酒店 食材汇
1406882,1528314599039037469,报刊亭,书报亭,报刊亭
477808,1506523216179621912,鼎佛烟酒,烟酒茶店,鼎佛 烟酒
1078463,1506564365980266571,赢鑫超市,便利超市,赢鑫 超市
1797509,1506526185356783650,人民同泰保健路店,连锁药店,人民 同泰 保健 路店
2688451,1506519590094762048,超有趣玩具店,玩具店,超 有趣 玩具店
1298222,1538705552341987369,鑫秀百香煎饼果子,小吃店,鑫秀 百香 煎饼果子
1888784,1506526189014216766,海王星辰惠苑里,连锁药店,海王星辰 惠 苑里
1699129,1506560515143626758,世纪华联超市,大超市,世纪 华联 超市
2617446,1506566177454026893,非烤勿扰韩式烤肉自助餐厅,日韩餐厅,非烤 勿扰 韩式 烤肉 自助餐厅
1906205,1538705524034629706,NOME万达广场店,家居生活馆,NOME 万达 广场 店
2641864,1506513073673072693,四季果行便利店,水果店,四季 果行 便利店
3252134,1506509623996444731,喜果生鲜超市,肉菜店,喜果 生鲜 超市
1538860,1535558840635093107,名创优品,家居生活馆,名 创优 品
3268835,1506526189618196624,海王星辰闻涛园,连锁药店,海王星辰 闻涛园
3235459,1506516542869991469,金手指面包店,面包店,金手指 面包店
556506,1506524696450166799,成都万达影城都江堰融创茂店电影院,影剧院,万达 影城 都江堰 融创茂店 电影院
2065765,1601543291013427338,正味牛排粉双井分店,西餐厅,正味 牛排 粉双井 分店
2357885,1506560896271642646,昌盛酒店,酒店宾馆,昌盛 酒店
2836166,1601543294213681165,金色年华KTV,KTV,金色年华 KTV
1255173,1601532475862151296,康平宠物医院,宠物医院,康平 宠物医院
183675,1512964494576578627,长沙盒马奥莱富兴店,社区团购,盒马 奥莱 富兴 店
3212696,1506620195480006753,点茶港式手作茶饮,休闲茶饮店,点茶 港式 手作 茶饮
3071895,1506519591155920996,福柜自贩机,自动售卖机,福柜 自贩机
680233,1506513047051825159,得惠佳商店,士多,得惠佳 商店
2772210,1506509625498005612,兴隆酒水批发,烟酒茶批发店,兴隆 酒水 批发
1077266,1506570735869751354,创达批发部,批零,创达 批发部
2405228,1528328678742945793,小刘家自助小火锅,自助餐,刘家 自助 小火锅
2941919,1601532475866345530,宠旺家宠物用品店,宠物用品店,宠旺家 宠物用品 店
954992,1595447109824540735,烟酒副食批零,批零,烟酒 副食 批零
2627273,1604462204139335734,水果生活超市,水果店,水果 生活超市
476299,1601607394281123922,海岛休闲洗浴,洗浴棋牌室,海岛 休闲 洗浴
738612,1572960390252589077,新式麻辣烫炸串,非连锁中式快餐店,新式 麻辣烫 炸串
1588922,1604953847267323917,回味小酒馆,酒吧,回味 小酒馆
1314817,1506522250969608286,凉皮,非连锁中式快餐店,凉皮
1965656,1612624013165850709,黄庄酥御园月饼直营店,面包店,黄庄 酥 御园 月饼 直营店
1227603,1506580759606194274,雪糕批发部,冻品批发店,雪糕 批发部
2419059,1527199358767067162,牦牛道米线厦门高新店,连锁中式快餐店,牦牛 道 米线 高 新店
373853,1580233778205552644,中国银行食堂,企业食堂,中国银行 食堂
2232886,1506526847834517569,自动贩卖机,自动售卖机,自动 贩卖机
1125918,1528321922235101203,果实惠果品批发中心,果蔬批发店,果 实惠 果品 批发 中心
346423,1563761283273322506,名创优品,家居生活馆,名 创优 品
68336,1506578491083321368,小伟宠物用品超市,宠物用品店,小伟 宠物用品 超市
3414026,1632356108805075065,美团优选,社区团购,美团 优选
1859049,1514859587520688191,报刊亭,书报亭,报刊亭
125266,1506573190602944573,好孩子文具,文具店,好孩子 文具
247451,1506582122360729668,爱宠之家,宠物用品店,爱宠 之家
2270058,1506523212346028036,心味坊蛋糕,面包店,心味坊 蛋糕
771190,1506513244020535379,炫都纯K天下娱乐万寿福居店,KTV,炫 K 天下 娱乐 万寿福 居店
1242019,1604984245892411535,英迪商店,士多,英迪 商店
2834494,1506624589286076521,又一家汉堡炸鸡专门店,非连锁西式快餐店,一家 汉堡 炸鸡
1505641,1612624022040997966,铭兴元,自动售卖机,铭 兴元
1892377,1627516727409766512,鲜羊坊延边烧烤,烧烤店,鲜羊坊 延边 烧烤
2258853,1506620204120272971,可猫可狗宠物生活馆,宠物用品店,可猫 可狗 宠物 生活馆
1584152,1506560895931904023,福州海联亚朵酒店,酒店宾馆,海联 亚朵 酒店
2028840,1601543278447292446,新颖干洗店,洗衣店,新颖 干洗店
282264,1506560508185276484,双汇冷鲜肉,肉菜店,双汇 冷 鲜肉
1803685,1506523218859782181,客家福便利店,便利店,客家 福 便利店
2684952,1506644464683446360,聚龙饭店,非连锁中式快餐店,聚龙 饭店
3405471,1604984246697717895,巴巴鲜果超市,水果店,鲜果 超市
3278741,1506571140452315138,土特产专卖,干货店,土特产
1747310,1506666653084282990,宜宾鸿运烧烤,烧烤店,鸿运 烧烤
2131679,1506620191134707756,香皖功夫煲仔,连锁中式快餐店,香皖 功夫 煲 仔
978145,1506519594955960388,217国道旁自助售卖机3号,自动售卖机,217 国 道旁 自助 售卖机 3 号
2217901,1535540088665272326,军浩台球俱乐部,公众体育场馆,军浩 台球 俱乐部
3350515,1506638678590746770,大世界超市,小超市,世界 超市
3202437,1506567921726648442,双潭姜国良冻库,干货店,双潭 姜国良 冻库
345993,1506526187856588803,上伊网咖,网吧,伊 网咖
203292,1506597835284672612,晨光文具,文具店,晨光 文具
802977,1506509618216693893,亮朵商店,士多,亮朵 商店
145752,1506576018297843760,南城水果批发,果蔬批发店,南城 水果 批发
1991549,1563125839191863419,名创优品,家居生活馆,名 创优 品
2965966,1506522325045211179,星耀电竞  丁豪店,网吧,星耀电 竞 丁豪店
306982,1506560514493509640,百信体育,体育用品店,百信 体育
1110148,1506566180977242227,心连心美妆,化妆品店,心连心 美妆
1551041,1506564844210614351,名创优品,家居生活馆,名 创优 品
3454049,1506524694801805420,蓝夜小酒馆,酒吧,蓝夜 小酒馆
3192397,1506576009850515465,眼镜鲜果,水果店,眼镜 鲜果
885019,1601543286219337738,中国兰州拉面,连锁中式快餐店,拉面
2793273,1528322884492324919,鹤新田自助日式涮涮锅,自助餐,鹤 新田 自助 日式 涮涮锅
3480508,1506571148773814329,老陈水果新疆干果,水果店,陈 水果 干果
2730242,1528324534103699521,优利中西餐速冻食品,西餐厅,优利 中西餐 速冻 食品
92177,1506651646028148740,方杰酒水批发,烟酒茶批发店,方杰 酒水 批发
818436,1627364318834323491,龙猫影院,影剧院,龙猫 影院
1449379,1506523218331299932,中国邮政报刊亭,书报亭,中国邮政 报刊亭
1656233,1506608450338287734,懒人烤肉鲜生蚝自助,自助餐,懒人 烤肉 鲜生 蚝 自助
925300,1506571137067511841,明珠超市,小超市,明珠 超市
2047575,1506567917981134923,张记灌汤包,早餐店,张记 灌汤包
216259,1535539127523733593,四川阳光香料,干货店,阳光 香料
