,storeid,createtime
0,1000540703,1671784941673
1,1000540703,1671854595254
2,1004635225,1671252561834
3,1004635225,1671252649398
4,1005440774,1671526789141
5,1006487793,1672620040041
6,1007421616,1671340438895
7,1008205665,1670991391470
8,101500641,1672372274046
9,101500641,1672383496325
10,1018019186,1673513753418
11,1026569167,1670985606146
12,1026569167,1672368015682
13,1026965131,1671004081237
14,1027981224,1673519727036
15,1033157173,1671933597013
16,1035263411,1671766761207
17,1038646475,1671241488900
18,1038646475,1673138084678
19,1041065779,1673254663252
20,1041487309,1672452485473
21,1042577526,1671763382377
22,1043211095,1670983610395
23,1045081131,1671343917784
24,1045936697,1672210707632
25,1048077309,1671865527260
26,1051510282,1673152877463
27,1057441653,1673757849050
28,1058440743,1671776246872
29,1063059694,1671171295932
30,1063059694,1671171340932
31,1063059694,1672970220623
32,1067367871,1672388657241
33,1069332972,1673058340449
34,1076919571,1671171570920
35,1080422999,1671681563958
36,1082619277,1671259133763
37,1089853436,1671858792421
38,1091198373,1671247906994
39,1091198373,1671245852492
40,1091198373,1671266030661
41,109250343,1671763896699
42,1096933086,1671856093400
43,1098576225,1671851927754
44,1099679835,1672387212377
45,1099679835,1673053695854
46,1103052939,1672898654037
47,1103052939,1672898599973
48,1113256216,1670816032420
49,1113256216,1671510137211
50,1115237103,1673342537031
51,1115258493,1672644587765
52,1118140292,1674033165014
53,111900163,1671861504016
54,1119204033,1670903221975
55,1119316617,1673329112479
56,1119316617,1673766408040
57,1122029737,1671339836496
58,1122994026,1671680298943
59,1123490976,1671000805931
60,1124046096,1672821226772
61,1129874416,1671851393891
62,1134865421,1672016710058
63,1134865421,1672018002020
64,1138715289,1672218311422
65,1139205941,1672025999070
66,1141184522,1673319342930
67,1144097073,1671777795932
68,1144097073,1671778174872
69,1144097073,1673325318916
70,1145607147,1672277806223
71,1145946436,1671869944331
72,1149523274,1671763722308
73,1149523274,1673089418176
74,1149523274,1673078888022
75,1151415876,1672902813405
76,1151415876,1672902482208
77,1151461531,1670981396895
78,1152417343,1672462202039
79,1153819677,1672299933881
80,115491364,1672798899550
81,115491364,1672799139830
82,1160895779,1673336366909
83,1161349834,1673248188424
84,116295422,1671265455959
85,1172018744,1672188074535
86,1173668036,1670990968924
87,1174064749,1671180217570
88,1174064749,1671180187225
89,1174064749,1672373702314
90,1174064749,1672373719828
91,1174064749,1672909588843
92,1174064749,1672909666190
93,1179564628,1672041574806
94,1181738276,1671151451960
95,1182028035,1671866178625
