,storeid,createtime
0,1100700000002479477,1674019990092
1,1100700000002558237,1674030941478
2,1100700000002642094,1673494690720
3,1460462957539496049,1673255460000
4,1460466401050497093,1673189580000
5,1460472187063504910,1672829880000
6,1460494115815952411,1672819560000
7,1460496316340768791,1672646940000
8,1460496316340768791,1673248980000
9,1460516148096405635,1673538060000
10,1460754916644622396,1673171580000
11,1460754916644622434,1673171340000
12,1460754916644622452,1673170740000
13,1460754916644622466,1673236260000
14,1460763887149387870,1673262600000
15,1461488554352971801,1672652520000
16,1461939319555100713,1673143440000
17,1461996948633555147,1673791080000
18,1462209340931969093,1672655880000
19,1462209340931969093,1673267700000
20,1462209340931969095,1673267580000
21,1462209340931969097,1673517780000
22,1462595920288944153,1673506200000
23,1462610960412971030,1672811400000
24,1462610960412971030,1673241180000
25,1462939498219442194,1673235300000
26,1464053849722589184,1672646880000
27,1464064021849313280,1672835520000
28,1464123387180879872,1672653840000
29,1464146836280446976,1673256060000
30,1464149043939774464,1672654920000
31,1464434598107811840,1672813560000
32,1464455862465728512,1673272680000
33,1464516904386433024,1672662360000
34,1465138072093069312,1673482560000
35,1465143950628229120,1673502180000
36,1465205204218679296,1673165160000
37,1465871383631368192,1673764980000
38,1465871959291203584,1673764860000
39,1465873432901193728,1673873880000
40,1465877599157882880,1672810740000
41,1465877599157882880,1673832060000
42,1465887539268292608,1673520000000
43,1465912097039847424,1673238540000
44,1465912097039847424,1673238540000
45,1465946934882734080,1672807500000
46,1465952370419699712,1672833300000
47,1465985700179611648,1673747100000
48,1466223376908554240,1673832300000
49,1466223376908554240,1673832300000
50,1466224770583498752,1673153760000
51,1466225350190174208,1672825080000
52,1466226930700390400,1673181540000
53,1466253953070141440,1672411680000
54,1466591760338784256,1673754720000
55,1466598184452231168,1672794540000
56,1466685137256321024,1673256060000
57,1466685828167241728,1673256360000
58,1466687122655285248,1673515860000
59,1466693015673376768,1673868180000
60,1466696695894118400,1672652520000
61,1466696695894118400,1672652520000
62,1466711844495429632,1673756640000
63,1466711844495429632,1673756640000
64,1466943886751567872,1672795740000
65,1466993891717812224,1673245680000
66,1467046023724666880,1673148780000
67,1467047813224468480,1673261520000
68,1467067608372219904,1673238060000
69,1467315377733242880,1673522220000
70,1467327487540334592,1673149740000
71,1467327782668341248,1673141760000
72,1467674654998138880,1672814340000
73,1467681612455088128,1672830360000
74,1467732616533905408,1672634580000
75,1467737708716756992,1673766180000
76,1468032285600256000,1673158680000
77,1468041753494949888,1673792700000
78,1468049903333806080,1673273460000
79,1468460205468684288,1673239860000
80,1468769018541379584,1673275080000
81,1468819481118773248,1672798260000
82,1469128758794522624,1672798800000
83,1469850696265371648,1673226960000
84,1469870170288820224,1673507700000
85,1470221835319775232,1673620620000
86,1470224177041641472,1673181360000
87,1470231368683360256,1673505120000
88,1470259241137868800,1673181600000
89,1470275375945879552,1673754300000
90,1470305393958850560,1673190720000
91,1470950292425150464,1672667460000
92,1470950292425150464,1673254140000
93,1470950292425150464,1673772240000
94,1470990709619298304,1673151300000
95,1471356289098584064,1673505840000
96,1473480468900093952,1672823820000
97,1473482128191787008,1673144100000
98,1473482128191787008,1673749860000
99,1473577166062231552,1673500380000
100,1473812718418006016,1673136600000
101,1473822077877358592,1672795680000
102,1474201104324628480,1672634400000
103,1474264884236787712,1673528880000
104,1474561209750654976,1673339460000
105,1474562559821750272,1673142420000
106,1474680007627509760,1673264280000
107,1474971114643001344,1673755320000
108,1475269072039190528,1673859960000
109,1475277300777099264,1673834460000
110,1475373146361307136,1673248440000
111,1475373146361307136,1673490360000
112,1475373146361307136,1673851740000
113,1475647058978545664,1672809180000
114,1475655431429951488,1673489640000
115,1475656619797909504,1674034620000
116,1475663155165405184,1673751660000
117,1475664295030431744,1672628760000
118,1475665239159873536,1673235600000
119,1475666015198388224,1673874060000
120,1475669816475131904,1673838840000
121,1475671782982815744,1672799340000
122,1475672634376196096,1674042000000
123,1475676179456598016,1673147340000
124,1475678462634369024,1673840880000
125,1475690995466244096,1672635720000
126,1475717099509911552,1673519160000
127,1475717099509911552,1673838720000
128,1475725214586511360,1673148960000
129,1475734810415730688,1672803000000
130,1475734810415730688,1672803000000
131,1476014688738349056,1672628760000
132,1476016571301367808,1673767140000
133,1476017700328448000,1672627140000
134,1476022260191072256,1673837820000
135,1476024919908425728,1672795380000
136,1476025709200941056,1672631760000
137,1476027493243817984,1673851380000
138,1476029125952147456,1673228520000
139,1476035912017252352,1673229000000
140,1476035912017252352,1673229000000
141,1476035912017252352,1673835000000
142,1476035912017252352,1673835000000
143,1476036387081035776,1674012660000
144,1476043638231539712,1674019620000
145,1476066748913688576,1673845740000
146,1476096587523694592,1673838660000
147,1476101523510665216,1673142720000
148,1476101523510665216,1673762520000
149,1476103199760064512,1673783640000
150,1476112525841010688,1673145060000
151,1476112525841010688,1673763480000
152,1476115154939809792,1673501580000
153,1476131706720493568,1673251560000
154,1476131706720493568,1673251560000
155,1476131706720493568,1673857260000
156,1476131706720493568,1673857260000
157,1476138999973421056,1673248980000
158,1476138999973421056,1673860380000
159,1476374125449711616,1673263920000
160,1476377072011321344,1673837280000
161,1476378555293376512,1673837580000
162,1476392576398528512,1673233500000
163,1476393169468919808,1674009120000
164,1476420021268910080,1673782860000
165,1476423488888770560,1673749620000
166,1476437156569554944,1673143560000
167,1476437156569554944,1673743920000
168,1476442372069138432,1672649460000
169,1476445588093538304,1672630860000
170,1476445588093538304,1673515680000
171,1476471466848555008,1673265840000
172,1476490973608546304,1674033480000
173,1476738387049320448,1672627020000
174,1476767828538564608,1673182380000
175,1476798696518852608,1672640820000
176,1476821896740868096,1672819080000
177,1476821896740868096,1673863020000
178,1476831399754604544,1673511240000
179,1476831818409058304,1673514660000
180,1476838918996631552,1673148420000
181,1477079510238371840,1673136540000
182,1477082951023075328,1673836740000
183,1477083144749453312,1673241300000
184,1477086433914396672,1673173680000
185,1477086433914396672,1673173680000
186,1477091249105276928,1673874360000
187,1477095813275586560,1673752740000
188,1477095832544354304,1673767620000
189,1477104794077503488,1672627860000
190,1477107397423140864,1674037200000
191,1477110583068467200,1673227440000
192,1477166306771083264,1674048780000
193,1477179267443073024,1673761020000
194,1477181240321904640,1673230620000
195,1477188013632131072,1673858760000
196,1477190918040985600,1673490540000
197,1477198183238078464,1673141160000
198,1477198183238078464,1673141220000
199,1477198183238078464,1673141220000
200,1477205893937500160,1672649520000
201,1477205893937500160,1673513220000
202,1477216506558418944,1672651320000
203,1477445522917957632,1673138940000
204,1477445522917957632,1673509380000
205,1477446675147792384,1672643880000
206,1477447161578004480,1673141520000
207,1477447161578004480,1673745720000
208,1477458357383340032,1673141520000
209,1477458357383340032,1673748480000
210,1477461788546310144,1674015000000
211,1477461788546310144,1674015000000
212,1477466698088194048,1672626900000
213,1477466698088194048,1673232420000
214,1477473789859340288,1672625580000
215,1477474136728281088,1673510760000
216,1477478380067889152,1672625940000
217,1477478380067889152,1673249340000
218,1477486215740657664,1673488620000
219,1477489218489028608,1672824180000
220,1477489218489028608,1673792100000
221,1477494491656097792,1672811640000
222,1477494491656097792,1673250900000
223,1477509482375417856,1673504220000
224,1477516002651672576,1673837640000
225,1477523372245262336,1673163660000
226,1477524653516918784,1673522460000
227,1477525486510022656,1673247840000
228,1477525486510022656,1674031020000
229,1477529159478677504,1673763060000
230,1477532889255120896,1673180460000
231,1477536365515382784,1673494080000
232,1477544187946733568,1673751180000
233,1477548668495339520,1673492100000
234,1477560622261739520,1674026040000
235,1477560622261739520,1674026040000
236,1477562593374769152,1673137560000
237,1477574396276383744,1673152680000
238,1477794381351227392,1673152560000
239,1477810589882654720,1673830080000
240,1477811206059466752,1673228580000
241,1477811206059466752,1673831400000
242,1477811941010579456,1673747460000
243,1477811960077750272,1672620720000
244,1477817862742876160,1673748900000
245,1477817862742876160,1674011700000
246,1477820660444172288,1673849940000
247,1477821469567492096,1673257980000
248,1477827226673221632,1673966940000
249,1477831117649485824,1673230140000
250,1477831393676632064,1673256360000
251,1477833046274351104,1673231880000
252,1477833230085529600,1673144340000
253,1477835258605998080,1673837820000
254,1477842435458736128,1672624680000
255,1477842748697612288,1673751180000
256,1477845083301879808,1673232540000
257,1477845340693733376,1673146800000
258,1477845340693733376,1673754000000
259,1477856939546517504,1673233800000
260,1477856939546517504,1673233800000
261,1477858409184366592,1674047460000
262,1477858432018292736,1672809480000
263,1477860625890942976,1673271960000
264,1477863966201094144,1672628460000
265,1477872781004771328,1673522820000
266,1477875228922220544,1673160900000
267,1477876154991124480,1673230020000
268,1477883461003124736,1673523240000
269,1477884406621544448,1672627440000
270,1477885877781925888,1673507820000
271,1477886321619116032,1672642020000
272,1477887286975795200,1673755980000
273,1477895706894409728,1673781540000
274,1477899895921975296,1673233980000
275,1477900513671516160,1673766840000
276,1477900816051609600,1672828440000
277,1477904414827220992,1673767260000
278,1477906527439560704,1673767800000
279,1477910271417782272,1673167140000
280,1477911959855964160,1673537640000
281,1477913937638072320,1673164500000
282,1477913937638072320,1673164500000
283,1477913937638072320,1673769180000
284,1477913937638072320,1673769180000
285,1477917230711971840,1673164740000
286,1477917230711971840,1673771220000
287,1477923286146097152,1672820460000
288,1477925252502786048,1673857860000
289,1477925252502786048,1673854200000
290,1477926790528897024,1673253180000
291,1477926790528897024,1673253240000
292,1477926790528897024,1673253240000
293,1477927702651740160,1673257680000
294,1477929059492171776,1673768700000
295,1477937794675646464,1673488440000
296,1477942292802310144,1672828440000
297,1477942292802310144,1672828440000
298,1478015170306510848,1673533860000
299,1478170050526715904,1673750940000
300,1478173547879862272,1672796400000
301,1478177078137593856,1673162820000
302,1478177078137593856,1673745360000
303,1478177414277369856,1673788200000
304,1478178998742814720,1673853780000
305,1478184089382297600,1673856180000
306,1478191216071024640,1674029640000
307,1478191216071024640,1674029640000
308,1478195787451207680,1673860140000
309,1478200983598272512,1672798620000
310,1478211856027099136,1673491860000
311,1478213160606638080,1673253600000
312,1478214280422756352,1672633380000
313,1478214280422756352,1672633380000
314,1478214280422756352,1672633380000
315,1478215606334525440,1673258280000
316,1478220647120510976,1673851140000
317,1478233410458750976,1672627380000
318,1478236782683496448,1674010620000
319,1478236782683496448,1674010560000
320,1478237089849020416,1673240760000
321,1478237089849020416,1674022020000
322,1478243655176294400,1672658460000
323,1478251842390593536,1672806600000
324,1478255387265474560,1672630920000
325,1478257433041309696,1673257920000
326,1478257894330863616,1673874240000
327,1478258394346561536,1672631220000
328,1478260128343003136,1673519100000
329,1478262117948989440,1674005760000
330,1478262328930869248,1673151420000
331,1478262328930869248,1673151420000
332,1478262328930869248,1673837940000
333,1478262328930869248,1673837940000
334,1478262887096262656,1673256900000
335,1478263939031900160,1672800060000
336,1478268107201056768,1673505660000
337,1478273582143508480,1674018420000
338,1478273951691051008,1673486040000
339,1478282383089340416,1673267580000
340,1478283620069416960,1673489940000
341,1478285032102694912,1673252100000
342,1478287523217416192,1673877840000
343,1478305210412834816,1672811640000
344,1478313825882349568,1673492940000
345,1478319057840381952,1673229600000
346,1478319057840381952,1673836560000
347,1478322661225668608,1672672080000
348,1478527563155509248,1673140440000
349,1478535154262876160,1673749980000
350,1478538806834765824,1674009540000
351,1478546408763301888,1673511780000
352,1478550226322198528,1673167620000
353,1478553336440692736,1673146920000
354,1478556003640549376,1673230500000
355,1478559187247308800,1673504760000
356,1478565959857086464,1673853840000
357,1478568138445557760,1672797000000
358,1478577075106619392,1673490360000
359,1478584344326184960,1673245080000
360,1478595743370579968,1672648140000
361,1478599587269976064,1674016380000
362,1478606810385616896,1674023280000
363,1478609125893083136,1673158500000
364,1478614554320838656,1672828260000
365,1478621322392244224,1673767260000
366,1478624931091849216,1673493180000
367,1478625061123661824,1672827180000
368,1478646052402892800,1673773860000
369,1478663533817368576,1672813080000
370,1478667079698747392,1673516340000
371,1478680098688339968,1672820820000
372,1478692060918845440,1672622100000
373,1478899816946999296,1672633800000
374,1478901613283381248,1672640160000
375,1478905745629122560,1673751420000
376,1478912700473020416,1673495160000
377,1478913924152823808,1673228280000
378,1478916855879045120,1672887120000
379,1478919696874082304,1674024000000
380,1478921638681645056,1673232480000
381,1478928510465875968,1673850900000
382,1478931399938543616,1673873700000
383,1478935768138522624,1672800720000
384,1478938208095182848,1673169840000
385,1478941944418799616,1673234520000
386,1478950451071426560,1672822320000
387,1478958943249375232,1672669560000
388,1478974207470870528,1672713420000
389,1478977401110405120,1673145240000
390,1478994113725734912,1674009240000
391,1478994555725684736,1673852160000
392,1478997720395026432,1673512620000
393,1479004288025108480,1672833840000
394,1479004288025108480,1672833840000
395,1479005651555454976,1672628520000
396,1479021970216587264,1673247300000
397,1479260497852506112,1673224380000
398,1479260497852506112,1673831940000
399,1479272419180023808,1672623480000
400,1479273421564153856,1672824060000
401,1479273421564153856,1673840580000
402,1479273809470300160,1673144280000
403,1479282437619060736,1674003120000
404,1479284481306402816,1673838540000
405,1479289437753188352,1673148060000
406,1479300668471775232,1673133420000
407,1479301494762246144,1672630740000
408,1479307856309260288,1673174340000
409,1479310164074176512,1673792220000
410,1479322396740685824,1673503320000
411,1479338298983063552,1673148540000
412,1479345684447764480,1672658100000
413,1479346363543330816,1673242440000
414,1479349696022581248,1673169060000
415,1479351081422163968,1673767440000
416,1479356836623814656,1673145300000
417,1479357249934725120,1672797840000
418,1479372076128411648,1673765520000
419,1479381114476044288,1672643160000
420,1479386065029697536,1673147820000
421,1479408549410119680,1673856720000
422,1479624624617824256,1673145060000
423,1479626235025039360,1673146500000
424,1479627342493261824,1673147160000
425,1479630717175599104,1673226300000
426,1479630717175599104,1673831040000
427,1479636456455671808,1672629120000
428,1479638405309665280,1673236680000
429,1479639557518663680,1673754900000
430,1479641025038389248,1673842440000
431,1479643653071835136,1672789980000
432,1479649182775119872,1672631880000
433,1479658173886500864,1673771820000
434,1479661561428844544,1673262300000
435,1479661561428844544,1673517480000
436,1479662660986474496,1673517900000
437,1479708796246040576,1673539140000
438,1479708796246040576,1673796420000
439,1479714772609011712,1673145960000
440,1479718579577561088,1673235180000
441,1479722914936004608,1672814640000
442,1479725018111025152,1672818660000
443,1479733414730010624,1673527560000
444,1479739531166093312,1673512260000
445,1479743150502453248,1673771820000
446,1479787882607812608,1674018000000
447,1480000576183083008,1672799340000
448,1480010276014399488,1672826880000
449,1480019286545408000,1673258040000
450,1480021541415686144,1672807620000
451,1480031031620018176,1672814220000
452,1480054294219857920,1674011820000
453,1480062862247464960,1673769060000
454,1480062862247464960,1673769060000
455,1480063631214518272,1673229840000
456,1480069403801423872,1673229600000
457,1480076807079333888,1673234700000
458,1480086365281587200,1673145600000
459,1480086831130349568,1672811280000
460,1480087051490693120,1673875560000
461,1480119123693543424,1672634280000
462,1480354539185119232,1673493000000
463,1480356833180000256,1673882040000
464,1480358998015483904,1672622160000
465,1480373728595546112,1673518140000
466,1480374972353482752,1672628580000
467,1480374972353482752,1673233500000
468,1480376540876513280,1673771520000
469,1480381876098310144,1673497800000
470,1480382917678211072,1672816620000
471,1480382975588831232,1673751120000
472,1480385668453634048,1673841540000
473,1480387871298035712,1672843920000
474,1480406135117979648,1673497020000
475,1480410463610347520,1672638060000
476,1480446718939107328,1674026340000
477,1480463657895993344,1673253600000
478,1480463657895993344,1673839500000
479,1480483412216254464,1672654620000
480,1480716960567402496,1673752680000
481,1480730697609256960,1672847820000
482,1480731383977611264,1673146680000
483,1480740633525227520,1673530680000
484,1480765422440681472,1673162400000
485,1480795391308992512,1673252100000
486,1480809109614891008,1672811400000
487,1480813192803524608,1672627560000
488,1481078991300599808,1673501820000
489,1481082220893573120,1673501940000
490,1481106853902553088,1673505600000
491,1481144544782323712,1673500980000
492,1481151154883928064,1672802160000
493,1481156112526090240,1673251560000
494,1481156112526090240,1674013980000
495,1481162612480806912,1673169360000
496,1481250686024032256,1673511600000
497,1481439527049498624,1673226240000
498,1481449117178793984,1672644600000
499,1481454312956760064,1673512020000
500,1481458200673914880,1672626420000
501,1481459724846374912,1673141640000
502,1481459724846374912,1673141640000
503,1481461945302388736,1673271660000
504,1481463310116462592,1673142600000
505,1481463310116462592,1673784240000
506,1481484173926735872,1673147280000
507,1481524926568599552,1673236440000
508,1481531914853818368,1673175120000
509,1481539773528285184,1673175300000
510,1481555040492855296,1673512740000
511,1481557708292362240,1672646640000
512,1481565677990055936,1673764080000
513,1481798913953501184,1672640940000
514,1481822540480651264,1672807860000
515,1482169856068554752,1673838840000
516,1482180466382741504,1673766660000
517,1482180466382741504,1673766660000
518,1482198456830398465,1673159220000
519,1482235578740248576,1673746620000
520,1482276369667854336,1673173620000
521,1482279813640364032,1673530860000
522,1482281145705041920,1673530320000
523,1482547134103425024,1673234580000
524,1482556177224175616,1673228220000
525,1482602595699789824,1673748240000
526,1482624898160529408,1673767680000
527,1482624898160529408,1673767680000
528,1482908822690603008,1672826100000
529,1482917194659799040,1673842440000
530,1482924712324632576,1672626120000
531,1482934339112144896,1673844420000
532,1483247010672025600,1673150700000
533,1483247010672025600,1673753100000
534,1483252243406004224,1673140920000
535,1483255032832073728,1673267460000
536,1483269808723202048,1673507520000
537,1483272304137084928,1673175120000
538,1483274860431155200,1673154420000
539,1483294062604849152,1673157120000
540,1483294062604849152,1673157120000
541,1483331771151028224,1673165040000
542,1483650318960173056,1673846640000
543,1483650318960173056,1673846700000
544,1483992434353643520,1674040440000
545,1484040524951326720,1673853000000
546,1484044712745902080,1673230320000
547,1484059881387462656,1673781660000
548,1484097173867073536,1674049140000
549,1484352789881823232,1673247840000
550,1484368169735950336,1673150100000
551,1484396034481463296,1673254740000
552,1484396135920570368,1673514240000
553,1484400617450643456,1673773980000
554,1484807085693870080,1672807500000
555,1484807556693102592,1673528460000
556,1485113948037582848,1673533020000
557,1485126908646658048,1673133180000
558,1485170633540378624,1673832240000
559,1485192004462841856,1673253780000
560,1485467704046522368,1673166840000
561,1485539225515597824,1673877720000
562,1485790771197255680,1672638060000
563,1485798421427261440,1672627800000
564,1485814872485928960,1672800060000
565,1485822847459921920,1673749980000
566,1485877492295409664,1673760480000
567,1485893018174230528,1673261640000
568,1486150930679336960,1673266800000
569,1486154061349785600,1674009000000
570,1486177287614504960,1674003840000
571,1486178257593442304,1673767680000
572,1486185515454832640,1673165700000
573,1486221823128506368,1673232000000
574,1486506958487035904,1674034980000
575,1486591530285273088,1672819260000
576,1486614942407856128,1673488980000
577,1486653491614326784,1672666680000
578,1487332307034710016,1672622580000
579,1487332307034710016,1673743800000
580,1490579640656601088,1673780940000
581,1490972005800091648,1673849520000
582,1491321490967236608,1672639200000
583,1491945907779018752,1673228220000
584,1491945907779018752,1673866980000
585,1491985413554966528,1673489880000
586,1492005737600258048,1673503980000
587,1492346467485093888,1673507940000
588,1492346467485093888,1674022800000
589,1493157578644000768,1672638720000
590,1493427576079781888,1672834560000
591,1493481124599701504,1673506140000
592,1493771969311809536,1673165940000
593,1493810517406519296,1672808280000
594,1494144376752967680,1672799880000
595,1494211351479066624,1673504520000
596,1494497841438134272,1673848440000
597,1494602695296950272,1673836320000
598,1496006543349653504,1673272680000
599,1496302617243029504,1672797480000
600,1496320049332625408,1673240400000
601,1496320085181206528,1672793280000
602,1496320521594343424,1674056460000
603,1496326630774415360,1672814460000
604,1496327548848705536,1673485860000
605,1496327969885659136,1672826580000
606,1496328681705050112,1672794180000
607,1496328681705050112,1672794180000
608,1496335019285811200,1673780040000
609,1496336838607249408,1673794440000
610,1496345395629002752,1672638420000
611,1496347434513866752,1673493480000
612,1496349585478651904,1673777820000
613,1496350199411646464,1673141760000
614,1496353650270932992,1673230680000
615,1496365724250279936,1674047100000
616,1496369641042350080,1673147340000
617,1496373563811438592,1673142780000
618,1496381903572439040,1673243940000
619,1496382947153158144,1673244840000
620,1496405220362821632,1673769000000
621,1496411431837638656,1672833720000
622,1496633264813907968,1672793700000
623,1496635170315440128,1673246580000
624,1496645500689059840,1673230920000
625,1496653714679930880,1673769840000
626,1496655402287370240,1672625760000
627,1496659127496351744,1674020820000
628,1496662756781465600,1672824600000
629,1496662901916966912,1672803780000
630,1496677769873203200,1672812000000
631,1496677769873203200,1672812240000
632,1496683128973172736,1674022500000
633,1496687530203160576,1673159880000
634,1496688382120828928,1672824780000
635,1496689813535985664,1673162160000
636,1496689876350017536,1673774880000
637,1496694642585116672,1673266740000
638,1496694642585116672,1674054240000
639,1496695365385195520,1673266920000
640,1496696817319022592,1672632120000
641,1496713574708547584,1673142540000
642,1496719068626165760,1673230680000
643,1496725960349847552,1672650480000
644,1496725960349847552,1673248920000
645,1496725960349847552,1673763600000
646,1496732119827877888,1673509140000
647,1496736670522023936,1673766780000
648,1496738932522754048,1673267640000
649,1496741466670899200,1673161380000
650,1496742858928168960,1673142900000
651,1496750767229505536,1673488380000
652,1496757270619627520,1672821120000
653,1496757270619627520,1674015420000
654,1496765673802833920,1672822440000
655,1496769459623432192,1673844300000
656,1496772131491549184,1672653000000
657,1496773794268844032,1673231820000
658,1497009565697581056,1673144040000
659,1497013963064479744,1673500020000
660,1497027998904492032,1673878920000
661,1497030565013098496,1673519760000
662,1497031946268708864,1673493900000
663,1497032265891450880,1673154840000
664,1497033181558345728,1673154120000
665,1497035345747906560,1673495520000
666,1497036449483198464,1672622340000
667,1497040236499308544,1673175360000
668,1497040236499308544,1673776560000
669,1497041450511241216,1673487840000
670,1497050330297405440,1673879040000
671,1497072344127250432,1673149200000
672,1497087761272934400,1673504280000
673,1497087817455636480,1673235480000
674,1497093308265275392,1672834620000
675,1497095040311500800,1673148180000
676,1497097184754278400,1673520840000
677,1497100693952139264,1673875320000
678,1497101855262777344,1673233020000
679,1497107777074630656,1673162760000
680,1497107846574247936,1673783220000
681,1497120750396641280,1673250540000
682,1497121399675035648,1673836620000
683,1497121399675035648,1674035460000
684,1497125475552727040,1673771700000
685,1497127847255478272,1673140020000
686,1497127847255478272,1673140020000
687,1497127847255478272,1673852040000
688,1497127847255478272,1673852040000
689,1497130696320356352,1673158680000
690,1497138628768571392,1672826520000
691,1497369694754181120,1672841520000
692,1497372956802813952,1673247840000
693,1497373973930057728,1674021540000
694,1497381404844236800,1673834220000
695,1497381416558792704,1672841640000
696,1497381416558792704,1673188740000
697,1497382803422187520,1673522520000
698,1497383567624511488,1673760180000
699,1497384882052276224,1673755560000
700,1497390372916305920,1673499900000
701,1497393091827736576,1673831400000
702,1497393091827736576,1674022860000
703,1497393315690188800,1673497740000
