category,keyword
KTV,['KTV']
东南亚餐厅,"['泰国', '泰式', '越南', '越式', '印度', '印尼', '东南亚', '泰菜', '泰餐']"
中餐厅,"['中餐厅', '客家菜', '私房菜', '茶楼', '酒楼', '酒家', '农家菜', '啤酒鸭', '川菜', '湘菜', '膳食', '烤鱼', '猪肚鸡', '窑鸡', '农家庄', '农庄', '湘潭菜', '大盘菜', '钵子菜', '鸡煲', '湘味园', '音乐餐吧', '纸包鱼', '鱼铺', '泡泡鸡', '牛鞭煲', '椰子鸡', '口味鸡', '碳烤鱼', '柴火鸡', '柴火鱼', '大碗菜', '卤菜', '蟹蒸酒', '石锅鱼', '蒸鸡', '竹盐鸡', '铁板烧', '九江蟹', '川湘菜', '黑土猪', '火焰鹅', '叫花鸡', '羊庄', '油焖大虾', '捞鸡', '乳鸽', '大盘鱼', '顺德菜', '顺德鱼生', '牛蛙', '狮头鹅', '菜馆', '啫啫煲', '白切鸡', '肥肠鱼', '葡萄鸡', '黄油蟹', '驴庄', '蜗牛鸡', '虫草鸡', '鸡煲蟹', '羊狗煲', '佛跳墙', '全牛宴', '甲汁鱼', '水煮鱼', '羊肉馆', '棒棒鸡', '牛杂煲', '牛杂屋', '家常菜', '饭馆', '风味馆', '粤菜', '广东菜', '重庆菜', '山东菜', '鲁菜', '苏菜', '徽菜', '皖南菜', '皖江菜', '甘肃菜', '宁夏菜', '青海菜', '新疆菜', '清真菜', '潮州菜', '潮菜', '潮汕菜', '东江菜', '湖南菜', '湘西菜', '徽州菜', '鄂菜', '黑龙江菜', '吉林菜', '辽宁菜', '内蒙古菜', '河北菜', '港台菜', '广州菜', '广府菜', '浙菜', '浙江菜', '温州菜', '福州菜', '皖北菜', '沪菜', '福建菜', '京菜', '上海菜', '合肥菜', '淮南菜', '湖北菜', '东北菜', '西北菜', '云贵菜', '河南菜', '台湾菜', '鱼锅', '素食', '餐馆', '私厨', '蛙锅', '蟹煲', '海鲜研究所', '鱼馆', '鱼庄', '鹅庄', '客家王', '山庄', '百味鸡', '紫苏鸡', '走地鸡', '清远鸡', '驴肉馆', '香辣虾', '川味馆', '鸡公煲', '食府', '卜卜贝', '醉鹅', '农家小炒', '鱼宴', '家宴', '民间菜', '农家乐', '龙虾馆', '酸汤鱼', '海鲜馆', '主题餐厅', '炒菜', '肉煲', '特色菜', '农家鸡', '土菜', '农家餐厅', '鱼虾馆', '海鲜餐厅', '鸡锅', '潮味馆']"
书店,"['书店', '书房', '图书', '书吧', '书斋', '书舍', '书屋']"
书报亭,"['报刊亭', '书报亭']"
休闲茶饮店,"['鲜奶', '凉茶', '奶茶', '饮品', '果茶', '冷饮', '果汁', '奶昔', '刨冰', '冰沙', '茶饮', '柠檬茶', '烧仙草', '拉茶', '饮吧', '茶馆']"
体育用品店,"['体育', '文体', '篮球', '足球', '羽毛球']"
便利超市,"['超市', '小超']"
儿童用品店,"['儿童玩具', '奶粉', '童装', '儿童辅食', '儿童用具', '童鞋', '婴幼儿用品', '妇婴用品', '儿童百货', '儿童超市', '婴儿用品', '妇婴百货', '儿童用品', '妇幼百货', '童车', '妇幼用品', '婴幼用品', '婴童超市', '纸尿裤', '婴童百货', '母婴百货', '孕婴百货']"
免税品店,"['港货', '免税品', '免税店']"
公众体育场馆,"['体育馆', '体育园', '体育中心', '体育运动中心', '运动空间', '工体', '运动场', '运动馆', '体育场', '健身馆', '健身会所', '健身基地', '健身培训', '羽毛球场', '羽毛球馆', '网羽中心', '足球场', '篮球场', '篮球俱乐部', '保龄球馆', '保龄球场', '保龄球俱乐部', '足球营地', '高尔夫会所', '高尔夫球场', '高尔夫俱乐部', '壁球馆', '壁球场', '壁球俱乐部', '乒乓球馆', '乒乓球场', '乒乓球俱乐部', '乒乓球培训', '网球场', '网球馆', '网球俱乐部', '射箭馆', '射箭场', '射箭俱乐部', '弓矢俱乐部', '游泳馆', '游泳池', '游泳俱乐部', '游泳培训', '冰场', '攀岩', '塞车', '跆拳道', '空手道', '滑冰场', '溜冰场', '滑冰俱乐部', '溜冰俱乐部', '轮滑场', '轮滑俱乐部', '轮滑馆', '游泳健身', '水训运动馆', '潜水中心', '球馆', '球俱乐部', '球场', '球培训', '球营地', '运动俱乐部', '健身俱乐部', '瘦身中心', '运动工作室', '健身中心', '体育俱乐部', '健身生活馆', '健身工作室', '瑜伽', '健身游泳', '搏击俱乐部', '桌球城']"
