,0
0,储运
1,中国电信
2,7ELEVEn
3,肯德基
4,吸引力
5,婚纱
6,南粤
7,副食品
8,艺虹
9,穗园
10,青少年
11,隆
12,酱油
13,太阳岛
14,咖啡厅
15,大自然
16,水族馆
17,东川
18,顺意
19,景
20,水族
21,百佳
22,永辉
23,致美斋
24,南海
25,叉车
26,颖丰
27,泰国
28,广怡会
29,怡雅
30,宠物食品
31,粤潮
32,牛肉
33,火锅店
34,违法
35,处理
36,终端机
37,石化
38,加油站
39,BP
40,麦当劳
41,会计师
42,疾病
43,预防
44,控制中心
45,健身
46,旧货
47,灯饰
48,整形
49,中国联通
50,旺角
51,台球
52,棋牌
53,园林局
54,茶场
55,殡仪馆
56,广东省政府
57,办公厅
58,印刷厂
59,赛马场
60,昌岗
61,大河
62,马
63,水上
64,高尔夫球场
65,高盛
66,公社
67,金威
68,鸣泉
69,音乐厅
70,祥安
71,芙蓉
72,鸿波
73,客隆
74,瑞记
75,湛江
76,分校
77,足球场
78,德宝
79,惠爱
80,益鑫
81,日用
82,无缝钢管厂
83,天麓
84,马术
85,桥头
86,冶炼厂
87,地磅
88,丽江
89,庄园
90,渡头
91,亿达
92,足球
93,信
94,美伦
95,丘园
96,莲花
97,彩虹
98,羽毛球
99,邓荫南
100,墓园
101,玛莉奥
102,国靖
103,晨联
104,橡
105,塑制品
106,永顺
107,豆浆
108,同庆
109,必胜客
110,莱茵
111,港式
112,茶餐厅
113,双鱼
114,窝头
115,综治
116,皇家
117,国际饭店
118,穗福
119,家居装饰
120,中毒
121,急救中心
122,游泳场
123,汇圃
124,名城
125,金色年华
126,源胜发
127,商标
128,拉链
129,辅料厂
130,张民达
131,墓
132,北苑
133,阿春
134,单车
135,修理店
136,林内
137,肿瘤医院
138,花城
139,威
140,光电子
141,科艺
142,化工厂
143,街道社区
144,溢隆
145,冷气
146,维修部
147,理发
148,销售
149,宏发
150,三南
151,南方电网
152,水务
153,客户
154,营业厅
155,布特
156,中外运
157,久凌
158,拓师
159,咨询
160,加德士
161,新建
162,南越王
163,博物院
164,天河城
165,幼儿园
166,眼镜
167,俱乐部
168,事务所
169,陵园
170,中油
171,黄村
172,兰州
173,钟表
174,动物医院
175,中学
176,凉茶
177,体育用品
178,洗衣
179,酒廊
180,客运站
181,律师
182,典当行
183,川菜馆
184,日本料理
185,活动中心
186,电动车
187,旧址
188,皇冠
189,花店
190,汽车
191,公园
192,敬老院
193,海
194,医院
195,体育
196,土
197,电影城
198,通讯
199,体育馆
200,社区卫生
201,书店
202,小学
203,沁园
204,坚强
205,小虎
206,买卖
207,基督教
208,光
209,孝堂
210,玫瑰园
211,宴会厅
212,伟记
213,鲜果
214,迎宾
215,绿茵阁
216,蜘蛛
217,新年
218,口岸
219,智慧
220,自营
221,鹏
222,日
223,菱
224,搭果
225,银
226,海港
227,特乐路
228,锡安
229,莲塘
230,激流
231,赛场
232,红星
233,仪器
234,云苑
235,体育训练
236,垒球场
237,府
238,前
239,五羊
240,华祥
241,中山医科大学
242,穗华
243,实习
244,醉心
245,永安
246,白蚁
247,灵说
248,安装
249,崇德
250,天成
251,瓷业
252,星光
253,宿舍楼
254,力美健
255,新晖锁业
256,正骨
257,靓图
258,广仁路
259,四号
260,荔湾区
261,骨伤科
262,怡宝
263,桶装水
264,泰古
265,口腔医院
266,地产
267,纪念馆
268,聚
269,拉面
270,物流
271,咖
272,妇幼保健
273,剧院
274,学院
275,教育
276,中国邮政
277,办公
278,纺织
279,西亚
280,海味
281,广昌
282,都城
283,康复中心
284,洞庭
285,珍珠
286,制品
287,熙融
288,广园
289,温泉
290,风景
291,名胜区
292,汇富
293,志鑫
294,爱卡仕
295,自动车
296,部品
297,雅居乐
298,橱柜
299,樱花
300,回转
301,寿司
302,土华
303,文体
304,森胜
305,典当
306,老夫子
